Latency Threads Actors Messages MaxLength
-1.0 0.001187616 10.0 100.0 100.0
-1.0 0.0108086928 10.0 100.0 500.0
-1.0 0.025897071100000002 10.0 100.0 1000.0
-1.0 0.1046966378 10.0 100.0 5000.0
-1.0 0.1477087903 10.0 100.0 10000.0
-1.0 0.6200077258 10.0 100.0 50000.0
-1.0 1.4654960870999998 10.0 100.0 100000.0
-1.0 0.0045052029 10.0 500.0 100.0
-1.0 0.0247310708 10.0 500.0 500.0
-1.0 0.07032777720000001 10.0 500.0 1000.0
-1.0 0.2772941657 10.0 500.0 5000.0
-1.0 0.705031401 10.0 500.0 10000.0
-1.0 3.2164117728 10.0 500.0 50000.0
-1.0 7.039332892999999 10.0 500.0 100000.0
-1.0 0.0104687755 10.0 1000.0 100.0
-1.0 0.045425203799999994 10.0 1000.0 500.0
-1.0 0.1198447444 10.0 1000.0 1000.0
-1.0 0.8048421941000001 10.0 1000.0 5000.0
-1.0 1.1928917428 10.0 1000.0 10000.0
-1.0 6.6328219531000014 10.0 1000.0 50000.0
-1.0 12.7908342398 10.0 1000.0 100000.0
-1.0 0.0508813937 10.0 5000.0 100.0
-1.0 0.2894252825 10.0 5000.0 500.0
-1.0 0.8073666699000001 10.0 5000.0 1000.0
-1.0 2.7622487748 10.0 5000.0 5000.0
-1.0 6.6441533246 10.0 5000.0 10000.0
-1.0 27.3596655769 10.0 5000.0 50000.0
-1.0 56.71187427700001 10.0 5000.0 100000.0
-1.0 0.10992121280000003 10.0 10000.0 100.0
-1.0 0.7450107725999999 10.0 10000.0 500.0
-1.0 1.3637771953999998 10.0 10000.0 1000.0
-1.0 6.219397599400001 10.0 10000.0 5000.0
-1.0 13.255385255599998 10.0 10000.0 10000.0
-1.0 61.37025396329999 10.0 10000.0 50000.0
-1.0 126.53828045060001 10.0 10000.0 100000.0
-1.0 0.0018817686 100.0 100.0 100.0
-1.0 0.0054007916 100.0 100.0 500.0
-1.0 0.0093914107 100.0 100.0 1000.0
-1.0 0.0460764179 100.0 100.0 5000.0
-1.0 0.1031697954 100.0 100.0 10000.0
-1.0 0.2996692175999999 100.0 100.0 50000.0
-1.0 0.5402175792 100.0 100.0 100000.0
-1.0 0.004537622999999999 100.0 500.0 100.0
-1.0 0.014914173099999997 100.0 500.0 500.0
-1.0 0.029178298499999998 100.0 500.0 1000.0
-1.0 0.1317218202 100.0 500.0 5000.0
-1.0 0.2271918167 100.0 500.0 10000.0
-1.0 1.1763686572 100.0 500.0 50000.0
-1.0 2.3020467897000003 100.0 500.0 100000.0
-1.0 0.0060942389 100.0 1000.0 100.0
-1.0 0.0321978723 100.0 1000.0 500.0
-1.0 0.06527323069999999 100.0 1000.0 1000.0
-1.0 0.21650818849999998 100.0 1000.0 5000.0
-1.0 0.483649443 100.0 1000.0 10000.0
-1.0 2.2592057692000003 100.0 1000.0 50000.0
-1.0 4.3981469012 100.0 1000.0 100000.0
-1.0 0.024395301799999998 100.0 5000.0 100.0
-1.0 0.10616564419999999 100.0 5000.0 500.0
-1.0 0.2505178974 100.0 5000.0 1000.0
-1.0 1.0981753547 100.0 5000.0 5000.0
-1.0 2.1184349979999997 100.0 5000.0 10000.0
-1.0 10.858076610700001 100.0 5000.0 50000.0
-1.0 21.325269016999997 100.0 5000.0 100000.0
-1.0 0.06304281449999999 100.0 10000.0 100.0
-1.0 0.2097124499 100.0 10000.0 500.0
-1.0 0.41639132329999995 100.0 10000.0 1000.0
-1.0 2.1940050127 100.0 10000.0 5000.0
-1.0 4.5768806775 100.0 10000.0 10000.0
-1.0 22.022058399400002 100.0 10000.0 50000.0
-1.0 42.573025208999994 100.0 10000.0 100000.0
-1.0 0.0070960072 1000.0 100.0 100.0
-1.0 0.030615373500000004 1000.0 100.0 500.0
-1.0 0.047416322999999996 1000.0 100.0 1000.0
-1.0 0.2186640077 1000.0 100.0 5000.0
-1.0 0.3733635194 1000.0 100.0 10000.0
-1.0 1.704052436 1000.0 100.0 50000.0
-1.0 3.3869393309999993 1000.0 100.0 100000.0
-1.0 0.008039423399999999 1000.0 500.0 100.0
-1.0 0.0316082582 1000.0 500.0 500.0
-1.0 0.07839209150000001 1000.0 500.0 1000.0
-1.0 0.3007406317 1000.0 500.0 5000.0
-1.0 0.4776471226 1000.0 500.0 10000.0
-1.0 1.9683875861999998 1000.0 500.0 50000.0
-1.0 3.7193341765 1000.0 500.0 100000.0
-1.0 0.0118442084 1000.0 1000.0 100.0
-1.0 0.07595741040000001 1000.0 1000.0 500.0
-1.0 0.12514295979999998 1000.0 1000.0 1000.0
-1.0 0.6225391023 1000.0 1000.0 5000.0
-1.0 0.9986203272999999 1000.0 1000.0 10000.0
-1.0 3.8358706089999997 1000.0 1000.0 50000.0
-1.0 6.0297820766 1000.0 1000.0 100000.0
-1.0 0.040525460699999995 1000.0 5000.0 100.0
-1.0 0.1524801861 1000.0 5000.0 500.0
-1.0 0.27563547 1000.0 5000.0 1000.0
-1.0 1.4718753968999998 1000.0 5000.0 5000.0
-1.0 2.8699836550000004 1000.0 5000.0 10000.0
-1.0 10.2411244197 1000.0 5000.0 50000.0
-1.0 19.469027591299998 1000.0 5000.0 100000.0
-1.0 0.0570362264 1000.0 10000.0 100.0
-1.0 0.23929449409999998 1000.0 10000.0 500.0
-1.0 0.434286909 1000.0 10000.0 1000.0
-1.0 2.2287622261999998 1000.0 10000.0 5000.0
-1.0 4.5594969377 1000.0 10000.0 10000.0
-1.0 18.5937135446 1000.0 10000.0 50000.0
-1.0 36.089360323799994 1000.0 10000.0 100000.0
-2.0 9.394211E-4 10.0 100.0 100.0
-2.0 0.0040783749 10.0 100.0 500.0
-2.0 0.005373085400000001 10.0 100.0 1000.0
-2.0 0.034632099300000004 10.0 100.0 5000.0
-2.0 0.0727693445 10.0 100.0 10000.0
-2.0 0.4470415407 10.0 100.0 50000.0
-2.0 0.8970516156 10.0 100.0 100000.0
-2.0 0.0024511778 10.0 500.0 100.0
-2.0 0.010554973499999998 10.0 500.0 500.0
-2.0 0.0211601349 10.0 500.0 1000.0
-2.0 0.12115153059999999 10.0 500.0 5000.0
-2.0 0.29516824740000003 10.0 500.0 10000.0
-2.0 1.6864567274000002 10.0 500.0 50000.0
-2.0 3.704364011799999 10.0 500.0 100000.0
-2.0 0.005189409900000001 10.0 1000.0 100.0
-2.0 0.0238209623 10.0 1000.0 500.0
-2.0 0.05298705929999999 10.0 1000.0 1000.0
-2.0 0.31107678549999995 10.0 1000.0 5000.0
-2.0 0.6989586456 10.0 1000.0 10000.0
-2.0 3.9350323949 10.0 1000.0 50000.0
-2.0 8.7586505309 10.0 1000.0 100000.0
-2.0 0.023579353 10.0 5000.0 100.0
-2.0 0.1309516593 10.0 5000.0 500.0
-2.0 0.3531618508 10.0 5000.0 1000.0
-2.0 1.8336735978 10.0 5000.0 5000.0
